Arquivo,Amostra,Ocorrencias,Tempo de Execucao (ms)
.txt/MobyDick-217452.txt,1,14715,108
.txt/MobyDick-217452.txt,2,14715,35
.txt/MobyDick-217452.txt,3,14715,25
.txt/Dracula-165307.txt,1,8101,24
.txt/Dracula-165307.txt,2,8101,24
.txt/Dracula-165307.txt,3,8101,24
.txt/DonQuixote-388208.txt,1,188,54
.txt/DonQuixote-388208.txt,2,188,47
.txt/DonQuixote-388208.txt,3,188,42
