Arquivo,Amostra,Ocorrencias,Tempo de Execucao (ms)
.txt/MobyDick-217452.txt,1,14715,58
.txt/MobyDick-217452.txt,2,14715,28
.txt/MobyDick-217452.txt,3,14715,19
.txt/Dracula-165307.txt,1,8101,18
.txt/Dracula-165307.txt,2,8101,12
.txt/Dracula-165307.txt,3,8101,12
.txt/DonQuixote-388208.txt,1,188,32
.txt/DonQuixote-388208.txt,2,188,43
.txt/DonQuixote-388208.txt,3,188,22
